run_key,tag,evals
main/cec2022_F05_D10/TFO-static/static/3,set_pieces,1067
main/cec2022_F05_D10/TFO-static/static/3,offside,0
main/cec2022_F05_D10/TFO-static/static/3,substitutions,0
main/cec2022_F05_D10/TFO-static/static/3,fatigue,0
main/cec2022_F05_D10/TFO-static/static/3,var_review,0
main/cec2022_F05_D10/TFO-static/static/3,manager,0
main/cec2022_F05_D10/TFO-static/static/3,neutral,0
main/cec2022_F05_D10/TFO/full/4,init,30
main/cec2022_F05_D10/TFO/full/4,sweeper_keeper,0
main/cec2022_F05_D10/TFO/full/4,zonal_centre_back,17864
main/cec2022_F05_D10/TFO/full/4,overlapping_wing_back,17372
main/cec2022_F05_D10/TFO/full/4,deep_lying_playmaker,13086
main/cec2022_F05_D10/TFO/full/4,box_to_box,26236
main/cec2022_F05_D10/TFO/full/4,destroyer,13366
main/cec2022_F05_D10/TFO/full/4,virtuoso,84461
main/cec2022_F05_D10/TFO/full/4,finisher,17360
main/cec2022_F05_D10/TFO/full/4,formation,0
main/cec2022_F05_D10/TFO/full/4,rotation,0
main/cec2022_F05_D10/TFO/full/4,possession,6939
main/cec2022_F05_D10/TFO/full/4,pressing,2119
main/cec2022_F05_D10/TFO/full/4,counter_attack,180
main/cec2022_F05_D10/TFO/full/4,set_pieces,987
main/cec2022_F05_D10/TFO/full/4,offside,0
main/cec2022_F05_D10/TFO/full/4,substitutions,0
main/cec2022_F05_D10/TFO/full/4,fatigue,0
main/cec2022_F05_D10/TFO/full/4,var_review,0
main/cec2022_F05_D10/TFO/full/4,manager,0
main/cec2022_F05_D10/TFO/full/4,neutral,0
main/cec2022_F05_D10/TFO-static/static/4,init,30
main/cec2022_F05_D10/TFO-static/static/4,sweeper_keeper,0
main/cec2022_F05_D10/TFO-static/static/4,zonal_centre_back,18819
main/cec2022_F05_D10/TFO-static/static/4,overlapping_wing_back,4156
main/cec2022_F05_D10/TFO-static/static/4,deep_lying_playmaker,3115
main/cec2022_F05_D10/TFO-static/static/4,box_to_box,16699
main/cec2022_F05_D10/TFO-static/static/4,destroyer,6152
main/cec2022_F05_D10/TFO-static/static/4,virtuoso,76375
main/cec2022_F05_D10/TFO-static/static/4,finisher,1682
main/cec2022_F05_D10/TFO-static/static/4,formation,0
main/cec2022_F05_D10/TFO-static/static/4,rotation,0
main/cec2022_F05_D10/TFO-static/static/4,possession,6523
main/cec2022_F05_D10/TFO-static/static/4,pressing,65227
main/cec2022_F05_D10/TFO-static/static/4,counter_attack,180
main/cec2022_F05_D10/TFO-static/static/4,set_pieces,1042
main/cec2022_F05_D10/TFO-static/static/4,offside,0
main/cec2022_F05_D10/TFO-static/static/4,substitutions,0
main/cec2022_F05_D10/TFO-static/static/4,fatigue,0
main/cec2022_F05_D10/TFO-static/static/4,var_review,0
main/cec2022_F05_D10/TFO-static/static/4,manager,0
main/cec2022_F05_D10/TFO-static/static/4,neutral,0
main/cec2022_F12_D10/TFO/full/0,init,30
main/cec2022_F12_D10/TFO/full/0,sweeper_keeper,0
main/cec2022_F12_D10/TFO/full/0,zonal_centre_back,18675
main/cec2022_F12_D10/TFO/full/0,overlapping_wing_back,18022
main/cec2022_F12_D10/TFO/full/0,deep_lying_playmaker,12763
main/cec2022_F12_D10/TFO/full/0,box_to_box,26486
main/cec2022_F12_D10/TFO/full/0,destroyer,13484
main/cec2022_F12_D10/TFO/full/0,virtuoso,78489
main/cec2022_F12_D10/TFO/full/0,finisher,17752
main/cec2022_F12_D10/TFO/full/0,formation,0
main/cec2022_F12_D10/TFO/full/0,rotation,0
main/cec2022_F12_D10/TFO/full/0,possession,6306
main/cec2022_F12_D10/TFO/full/0,pressing,6602
main/cec2022_F12_D10/TFO/full/0,counter_attack,360
main/cec2022_F12_D10/TFO/full/0,set_pieces,1031
main/cec2022_F12_D10/TFO/full/0,offside,0
main/cec2022_F12_D10/TFO/full/0,substitutions,0
main/cec2022_F12_D10/TFO/full/0,fatigue,0
main/cec2022_F12_D10/TFO/full/0,var_review,0
main/cec2022_F12_D10/TFO/full/0,manager,0
main/cec2022_F12_D10/TFO/full/0,neutral,0
main/cec2022_F12_D10/TFO-static/static/0,init,30
main/cec2022_F12_D10/TFO-static/static/0,sweeper_keeper,0
main/cec2022_F12_D10/TFO-static/static/0,zonal_centre_back,21019
main/cec2022_F12_D10/TFO-static/static/0,overlapping_wing_back,11644
main/cec2022_F12_D10/TFO-static/static/0,deep_lying_playmaker,3132
main/cec2022_F12_D10/TFO-static/static/0,box_to_box,19660
main/cec2022_F12_D10/TFO-static/static/0,destroyer,4445
main/cec2022_F12_D10/TFO-static/static/0,virtuoso,53618
main/cec2022_F12_D10/TFO-static/static/0,finisher,4521
main/cec2022_F12_D10/TFO-static/static/0,formation,0
main/cec2022_F12_D10/TFO-static/static/0,rotation,0
main/cec2022_F12_D10/TFO-static/static/0,possession,7080
main/cec2022_F12_D10/TFO-static/static/0,pressing,73328
main/cec2022_F12_D10/TFO-static/static/0,counter_attack,360
main/cec2022_F12_D10/TFO-static/static/0,set_pieces,1163
main/cec2022_F12_D10/TFO-static/static/0,offside,0
main/cec2022_F12_D10/TFO-static/static/0,substitutions,0
main/cec2022_F12_D10/TFO-static/static/0,fatigue,0
main/cec2022_F12_D10/TFO-static/static/0,var_review,0
main/cec2022_F12_D10/TFO-static/static/0,manager,0
main/cec2022_F12_D10/TFO-static/static/0,neutral,0
main/cec2022_F12_D10/TFO/full/1,init,30
main/cec2022_F12_D10/TFO/full/1,sweeper_keeper,0
main/cec2022_F12_D10/TFO/full/1,zonal_centre_back,18382
main/cec2022_F12_D10/TFO/full/1,overlapping_wing_back,17801
